UNIT	Side	Frame	level	Channel	LANENUM	PRODCODE	AframePacksize	WMSPacksize	DESCRIPT	CURRENTSTATUS	ProductCode-Packsize	CurrentNDC
1	A	2	1	37	1	C0815	4500	45	CITALOPRAM HYDROBROMIDE 40MG TAB	NO ERROR	C0815-45	43353011245
1	A	2	1	38	1	A1212	9000	90	ALFUZOSIN HCL 10MG SA TAB	NO ERROR	A1212-90	Not in Stock
1	A	2	1	39	1	S0013	3000	30	SERTRALINE HCL 100MG TAB	NO ERROR	S0013-30	76282021430
1	A	2	1	40	1	D0063	18000	180	DICLOFENAC NA 75MG EC TAB	EMPTY LANE	D0063-180	Not in Stock
1	A	2	1	41	78	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	2	1	42	1	K0004	3000	30	KETOCONAZOLE 2% CREAM	NO ERROR	K0004-30	51407027930
1	A	2	1	43	1	M0400	3000	30	MONTELUKAST NA 10MG TAB	NO ERROR	M0400-30	72865017530
1	A	2	1	44	1	N0641	8100	81	NICOTINE POLACRILEX 4MG MINI LOZENGE	NO ERROR	N0641-81	00536124181
1	A	2	1	45	1	V0015	10000	100	VITAMIN B COMPLEX CAP	NO ERROR	V0015-100	54629056001
1	A	2	1	46	1	M0968	9000	90	MIRABEGRON 50MG SA TAB	NO ERROR	M0968-90	00469260290
1	A	2	1	47	1	L0147	6000	60	LACTASE 3000 UNT TAB	NO ERROR	L0147-60	54738000960
1	A	2	1	48	1	M0449	9000	90	METFORMIN HCL 1000MG TAB	NO ERROR	M0449-90	43353098760
1	A	2	1	49	1	M0096	3000	30	MICONAZOLE NITRATE 2% TOP CREAM	NO ERROR	M0096-30	51672200102
1	A	2	1	50	1	M0249	100	1	METHYLPREDNISOLONE 4MG TAB DOSEPAK,21	NO ERROR	M0249-1	59762444002
1	A	2	1	51	1	A1677	6000	60	APIXABAN 5MG TAB	NO ERROR	A1677-60	00003089421
1	A	2	1	52	2	A1677	6000	60	APIXABAN 5MG TAB	NO ERROR	A1677-60	00003089421
1	A	2	1	53	3	A1677	6000	60	APIXABAN 5MG TAB	NO ERROR	A1677-60	00003089421
1	A	2	1	54	1	T0385	6000	60	TAMSULOSIN HCL 0.4MG CAP	NO ERROR	T0385-60	71610073853
1	A	2	1	55	1	G0192	4500	45	GABAPENTIN 600MG TAB	NO ERROR	G0192-45	71610077745
1	A	2	1	56	4	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	2	1	57	5	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	3	1	64	1	M0087	27000	270	METOPROLOL TARTRATE 50MG TAB	NO ERROR	M0087-270	71610056592
1	A	3	1	65	1	P0622	4500	45	PRAVASTATIN NA 80MG TAB	NO ERROR	P0622-45	43353096645
1	A	3	1	66	1	A1154	200	2	ALPROSTADIL 20MCG/CARTRIDGE SYSTEM	NO ERROR	A1154-2	52244002002
1	A	3	1	67	1	I0222	1500	15	IPRATROPIUM BR 0.06% NASAL SPRAY	NO ERROR	I0222-15	24208039915
1	A	3	1	68	1	G0192	3000	30	GABAPENTIN 600MG TAB	NO ERROR	G0192-30	71610077730
1	A	3	1	69	1	L0820	9000	90	LEVOTHYROXINE NA (SYNTHROID) 125MCG TAB	NO ERROR	L0820-90	00074706890
1	A	3	1	70	1	A0546	9000	90	AMLODIPINE BESYLATE 2.5MG TAB	NO ERROR	A0546-90	59762224209
1	A	3	1	71	1	O0205	6000	60	OMEPRAZOLE 20MG EC CAP	NO ERROR	O0205-60	71610066353
1	A	3	1	72	1	C0543	13000	130	CYANOCOBALAMIN 250MCG TAB	NO ERROR	C0543-130	00536141638
1	A	3	1	73	1	L0091	3000	30	LIDOCAINE 2.5/PRILOCAINE 2.5% CREAM	NO ERROR	L0091-30	63629960401
1	A	3	1	74	1	N0506	1400	14	NICOTINE 7MG/24HR PATCH	NO ERROR	N0506-14	60429044314
1	A	3	1	75	1	H0125	9000	90	HCTZ 12.5/LISINOPRIL 20MG TAB	NO ERROR	H0125-90	71610083860
1	A	3	1	76	1	S0013	13500	135	SERTRALINE HCL 100MG TAB	NO ERROR	S0013-135	71610076973
1	A	3	1	77	1	M0130	2200	22	MUPIROCIN 2% OINT	NO ERROR	M0130-22	00093101042
1	A	3	1	78	1	A0132	18000	180	ALLOPURINOL 100MG TAB	NO ERROR	A0132-180	71610019480
1	A	3	1	79	1	C0740	9000	90	CARVEDILOL 25MG TAB	NO ERROR	C0740-90	71610006760
1	A	3	1	80	1	D0025	6000	60	DESONIDE 0.05% CREAM	NO ERROR	D0025-60	51672128003
1	A	3	1	81	1	A1500	10000	100	CREON 24,000UNIT EC CAP	NO ERROR	A1500-100	00032263601
1	A	3	1	82	1	T0090	1500	15	TRIAMCINOLONE ACETONIDE 0.025% CREAM	NO ERROR	T0090-15	45802006335
1	A	3	1	83	1	A0228	9000	90	AMITRIPTYLINE HCL 25MG TAB	NO ERROR	A0228-90	71610075160
1	A	3	1	84	1	A0545	9000	90	AMLODIPINE BESYLATE 10MG TAB	NO ERROR	A0545-90	76282023990
1	A	3	1	85	2	A0545	9000	90	AMLODIPINE BESYLATE 10MG TAB	NO ERROR	A0545-90	76282023990
1	A	3	1	86	9	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	3	1	87	6	SPARES1                       	100	1	SPARE LANE S1	JAM LANE	SPARES1-1	#N/A
1	A	3	1	88	7	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	3	1	89	8	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	4	1	96	1	G0105	9000	90	GABAPENTIN 400MG CAP	NO ERROR	G0105-90	72865025490
1	A	4	1	97	1	L0840	10000	100	LACTOBACILLUS ACIDOPHILUS CAP	NO ERROR	L0840-100	54629011101
1	A	4	1	98	77	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	4	1	99	1	F0049	9000	90	FLUOXETINE HCL 20MG CAP	NO ERROR	F0049-90	71610069960
1	A	4	1	100	10	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	4	1	101	1	P0615	3000	30	POTASSIUM CL 20MEQ SA TAB (DISPERSIBLE)	EMPTY LANE	P0615-30	Not in Stock
1	A	4	1	102	1	P0537	9000	90	PIOGLITAZONE HCL 45MG TAB	EMPTY LANE	P0537-90	Not in Stock
1	A	4	1	103	1	C1131	750	7.5	CIPROFLOXACIN 0.3/DEXAM 0.1% OTIC SUSP	NO ERROR	C1131-7.5	00781618667
1	A	4	1	104	1	M0297	1500	15	MIRTAZAPINE 15MG TAB	NO ERROR	M0297-15	71610071715
1	A	4	1	105	1	N0090	3000	30	NYSTATIN 100000 UNT/GM CREAM	NO ERROR	N0090-30	00316022130
1	A	4	1	106	1	U0004	9000	90	UREA 40% CREAM	NO ERROR	U0004-90	50268087285
1	A	4	1	107	1	M0100	100	1	MINERAL OIL ENEMA	EMPTY LANE	M0100-1	53329001311
1	A	4	1	108	1	H0066	1200	12	HYDROCORTISONE ACETATE 25MG RTL SUPP	NO ERROR	H0066-12	50268041112
1	A	4	1	109	1	M0298	1500	15	MIRTAZAPINE 30MG TAB	NO ERROR	M0298-15	71610052315
1	A	4	1	110	1	B0159	400	4	BISACODYL 5MG EC TAB	NO ERROR	B0159-4	71610045304
1	A	4	1	111	1	T0081	3000	30	TRAZODONE HCL 50MG TAB	NO ERROR	T0081-30	71610052530
1	A	4	1	112	1	D0929	3000	30	DULOXETINE HCL 30MG EC CAP	NO ERROR	D0929-30	51407081830
1	A	4	1	113	1	B0465	3000	30	BUDESONIDE 0.5MG/2ML INH SUSP 2ML	EMPTY LANE	B0465-30	76282064138
1	A	4	1	114	1	P0172	30000	300	PSYLLIUM SF ORAL PWD	NO ERROR	P0172-300	80681004201
1	A	4	1	115	1	C0320	10000	100	CYANOCOBALAMIN 100MCG TAB	NO ERROR	C0320-100	54629005801
1	A	4	1	116	1	G0192	6000	60	GABAPENTIN 600MG TAB	NO ERROR	G0192-60	71610077753
1	A	4	1	117	1	E0189	100	1	ERYTHROMYCIN 0.5% OPH OINT	EMPTY LANE	E0189-1	24208091055
1	A	4	1	118	1	M1109	6000	60	MELATONIN 3MG CAP/TAB	NO ERROR	M1109-60	80681008600
1	A	4	1	119	2	M1109	6000	60	MELATONIN 3MG CAP/TAB	NO ERROR	M1109-60	80681008600
1	A	4	1	120	1	A0438	9000	90	ASPIRIN 81MG CHEW TAB	NO ERROR	A0438-90	54738012890
1	A	4	1	121	11	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	5	1	0	1	A2112	24000	240	ARTIFICIAL SALIVA ORAL SPRAY	JAM LANE	A2112-240	50930009808
1	A	5	1	1	1	I0431	100	1	IPRATROPIUM BROMIDE 17MCG 200D ORAL INHL	NO ERROR	I0431-1	00597008717
1	A	5	1	2	1	D0314	300	3	DEXTROSE 15GM/37.5GM SQUEEZE TUBE	EMPTY LANE	D0314-3	Not in Stock
1	A	5	1	3	1	R0288	9000	90	RIVAROXABAN 20MG TAB	NO ERROR	R0288-90	50458057990
1	A	5	1	4	1	H0044	3000	30	HYDROCHLOROTHIAZIDE 25MG TAB	NO ERROR	H0044-30	71610048830
1	A	5	1	5	1	C0279	3000	30	CLOBETASOL PROPIONATE 0.05% CREAM	NO ERROR	C0279-30	42291007630
1	A	5	1	6	1	M1013	12000	120	METFORMIN HCL 500MG 24HR SA TAB	EMPTY LANE	M1013-120	Not in Stock
1	A	5	1	7	1	G0105	6000	60	GABAPENTIN 400MG CAP	EMPTY LANE	G0105-60	71610075753
1	A	5	1	8	1	S0013	6000	60	SERTRALINE HCL 100MG TAB	NO ERROR	S0013-60	76282021460
1	A	5	1	9	1	P0412	9000	90	PRAVASTATIN NA 40MG TAB	EMPTY LANE	P0412-90	42291066890
1	A	5	1	10	1	L0813	9000	90	LEVOTHYROXINE NA (SYNTHROID) 25MCG TAB	NO ERROR	L0813-90	00074434190
1	A	5	1	11	1	V0231	9000	90	VENLAFAXINE HCL 150MG 24HR SA CAP	EMPTY LANE	V0231-90	42291089990
1	A	5	1	12	1	C0870	6000	60	CILOSTAZOL 100MG TAB	NO ERROR	C0870-60	60505252201
1	A	5	1	13	1	G0193	12000	120	GABAPENTIN 800MG TAB	NO ERROR	G0193-120	71610077870
1	A	5	1	14	1	D0440	10000	100	DOCUSATE NA 250MG CAP	NO ERROR	D0440-100	57896042601
1	A	5	1	15	1	P0287	500	5	PREDNISOLONE ACETATE 1% OPH SUSP	NO ERROR	P0287-5	60758011905
1	A	5	1	16	1	M0011	10000	100	MAGNESIUM OXIDE 420MG TAB	NO ERROR	M0011-100	10135072101
1	A	5	1	17	1	D1134	1500	15	DEXTRAN 70/GLYCER 0.2%/HYPROMEL 0.3% OPH	EMPTY LANE	D1134-15	50268004315
1	A	5	1	18	1	M0616	9000	90	METOPROLOL TARTRATE 25MG TAB	NO ERROR	M0616-90	71610055660
1	A	5	1	19	1	L0044	9000	90	LISINOPRIL 20MG TAB	NO ERROR	L0044-90	76282073190
1	A	5	1	20	1	F0608	10000	100	FERROUS SULFATE 324MG EC TAB	NO ERROR	F0608-100	72789032201
1	A	5	1	21	12	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	5	1	22	1	C0638	3000	30	CETIRIZINE HCL 10MG TAB	NO ERROR	C0638-30	00904671746
1	A	5	1	23	1	S0998	3000	30	SITAGLIPTIN (EQV-ZITUVIO) 100MG TAB	NO ERROR	S0998-30	70710190103
1	A	5	1	24	13	SPARES1                       	100	1	SPARE LANE S1	JAM LANE	SPARES1-1	#N/A
1	A	5	1	25	1	C0298	3000	30	CLOTRIMAZOLE 1% TOP CREAM	NO ERROR	C0298-30	00536127222
1	A	6	1	32	1	S0013	4500	45	SERTRALINE HCL 100MG TAB	EMPTY LANE	S0013-45	71610076945
1	A	6	1	33	1	P0572	9000	90	PANTOPRAZOLE NA 40MG EC TAB	NO ERROR	P0572-90	72865023090
1	A	6	1	34	2	P0572	9000	90	PANTOPRAZOLE NA 40MG EC TAB	NO ERROR	P0572-90	72865023090
1	A	6	1	35	1	F0077	3000	30	FUROSEMIDE 20MG TAB	EMPTY LANE	F0077-30	71610009630
1	A	6	1	36	1	B0195	6000	60	BUSPIRONE HCL 10MG TAB	EMPTY LANE	B0195-60	71610059653
1	A	6	1	37	1	M0515	3000	30	MELOXICAM 7.5MG TAB	EMPTY LANE	M0515-30	71610058330
1	A	6	1	38	1	I0006	18000	180	IBUPROFEN 800MG TAB	EMPTY LANE	I0006-180	71610064680
1	A	6	1	39	1	G0104	6000	60	GABAPENTIN 300MG CAP	NO ERROR	G0104-60	72865025360
1	A	6	1	40	1	C0325	9000	90	CYCLOBENZAPRINE HCL 10MG TAB	NO ERROR	C0325-90	42291015490
1	A	6	1	41	1	A1924	100	1	ACCU-CHEK GUIDE(GLUCOSE)HI/LO CNTRL SOLN	NO ERROR	A1924-1	65702071310
1	A	6	1	42	1	P1089	10000	100	POTASSIUM CITRATE 10MEQ SA TAB	NO ERROR	P1089-100	72865019201
1	A	6	1	43	1	K0017	500	5	KETOROLAC TROMETHAMINE 0.5% OPH SOLN	NO ERROR	K0017-5	61314012605
1	A	6	1	44	1	I0005	9000	90	IBUPROFEN 600MG TAB	EMPTY LANE	I0005-90	71610064560
1	A	6	1	45	14	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	6	1	46	1	C0325	18000	180	CYCLOBENZAPRINE HCL 10MG TAB	NO ERROR	C0325-180	42291015418
1	A	6	1	47	1	T0372	6000	60	TIZANIDINE HCL 4MG TAB	EMPTY LANE	T0372-60	71610077653
1	A	6	1	48	1	B0503	6000	60	BUPROPION HCL 100MG 12HR SA TAB	NO ERROR	B0503-60	77771017460
1	A	6	1	51	1	S0013	18000	180	SERTRALINE HCL 100MG TAB	EMPTY LANE	S0013-180	71610076980
1	A	6	1	52	1	M0449	18000	180	METFORMIN HCL 1000MG TAB	EMPTY LANE	M0449-180	43353098780
1	A	6	1	53	2	M0449	18000	180	METFORMIN HCL 1000MG TAB	EMPTY LANE	M0449-180	43353098780
1	A	6	1	54	15	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	6	1	55	16	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	6	1	56	17	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	6	1	57	18	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	64	1	XK150	100	1	GLUCOSE SENSOR FREESTYLE LIBRE 2	NO ERROR	XK150-1	57599080000
1	A	7	1	65	1	V0235	3000	30	VENLAFAXINE HCL 75MG 24HR SA CAP               	NO ERROR	V0235-30	42291089830
1	A	7	1	66	1	A1126	4500	45	ATORVASTATIN CALCIUM 80MG TAB	EMPTY LANE	A1126-45	71610074645
1	A	7	1	67	2	A1126	4500	45	ATORVASTATIN CALCIUM 80MG TAB	EMPTY LANE	A1126-45	71610074645
1	A	7	1	68	19	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	69	1	C1917	10000	100	CHOLECALCIF 50MCG (D3-2,000UNIT) TAB	NO ERROR	C1917-100	10135075001
1	A	7	1	70	2	C1917	10000	100	CHOLECALCIF 50MCG (D3-2,000UNIT) TAB	NO ERROR	C1917-100	10135075001
1	A	7	1	71	1	R0095	1800	18	RIZATRIPTAN BENZOATE 10MG TAB(MAX 18DOSES/MONTH	NO ERROR	R0095-18	51407068218
1	A	7	1	72	20	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	73	1	A0022	10000	100	ACETAMINOPHEN 325MG TAB	NO ERROR	A0022-100	54738054801
1	A	7	1	74	2	A0022	10000	100	ACETAMINOPHEN 325MG TAB	NO ERROR	A0022-100	54738054801
1	A	7	1	75	21	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	76	22	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	77	1	F0287	100	1	FLUTICAS 250/SALMETEROL 50 INHL DISK 60	NO ERROR	F0287-1	00378932132
1	A	7	1	78	2	F0287	100	1	FLUTICAS 250/SALMETEROL 50 INHL DISK 60	NO ERROR	F0287-1	00378932132
1	A	7	1	79	23	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	80	24	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	81	25	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	82	1	T0881	100	1	TIOTROPIUM 2.5MCG/ACTUAT 60D ORAL INHL	NO ERROR	T0881-1	00597010061
1	A	7	1	83	2	T0881	100	1	TIOTROPIUM 2.5MCG/ACTUAT 60D ORAL INHL	NO ERROR	T0881-1	00597010061
1	A	7	1	84	1	C1568	10000	100	CREON 36,000UNIT EC CAP                        	NO ERROR	C1568-100	00032301613
1	A	7	1	85	1	XV608	5000	50	FREESTYLE LITE (GLUCOSE) TEST STRIP	NO ERROR	XV608-50	99073071026
1	A	7	1	86	2	XV608	5000	50	FREESTYLE LITE (GLUCOSE) TEST STRIP	NO ERROR	XV608-50	99073071026
1	A	7	1	87	26	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	7	1	88	1	T0224	3000	30	TERBINAFINE HCL 1% CREAM	NO ERROR	T0224-30	51672208002
1	A	8	1	96	1	A1925	5000	50	ACCU-CHEK GUIDE (GLUCOSE) TEST STRIP	NO ERROR	A1925-50	65702071910
1	A	8	1	97	2	A1925	5000	50	ACCU-CHEK GUIDE (GLUCOSE) TEST STRIP	NO ERROR	A1925-50	65702071910
1	A	8	1	98	3	A1925	5000	50	ACCU-CHEK GUIDE (GLUCOSE) TEST STRIP	NO ERROR	A1925-50	65702071910
1	A	8	1	99	27	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	100	28	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	101	29	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	102	30	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	103	31	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	104	32	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	105	33	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	106	1	C1925	10000	100	CHOLECALCIF 25MCG (D3-1,000UNIT) TAB	NO ERROR	C1925-100	80681016900
1	A	8	1	107	2	C1925	10000	100	CHOLECALCIF 25MCG (D3-1,000UNIT) TAB	NO ERROR	C1925-100	80681016900
1	A	8	1	108	3	C1925	10000	100	CHOLECALCIF 25MCG (D3-1,000UNIT) TAB	NO ERROR	C1925-100	80681016900
1	A	8	1	109	38	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	110	1	G0013	36000	360	GLIPIZIDE 10MG TAB	EMPTY LANE	G0013-360	71610066894
1	A	8	1	111	1	F0612	10000	100	FERROUS GLUCONATE 324MG TAB	NO ERROR	F0612-100	54629064501
1	A	8	1	112	1	G0105	18000	180	GABAPENTIN 400MG CAP	EMPTY LANE	G0105-180	71610075780
1	A	8	1	113	1	I0535	12000	120	ICOSAPENT ETHYL 1GM CAP	NO ERROR	I0535-120	52937000120
1	A	8	1	114	34	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	115	35	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	116	1	A0736	100	1	ALBUTEROL 90MCG (CFC-F) 200D ORAL INHL	NO ERROR	A0736-1	00093317431
1	A	8	1	117	2	A0736	100	1	ALBUTEROL 90MCG (CFC-F) 200D ORAL INHL	NO ERROR	A0736-1	00093317431
1	A	8	1	118	3	A0736	100	1	ALBUTEROL 90MCG (CFC-F) 200D ORAL INHL	NO ERROR	A0736-1	00093317431
1	A	8	1	119	4	A0736	100	1	ALBUTEROL 90MCG (CFC-F) 200D ORAL INHL	NO ERROR	A0736-1	00093317431
1	A	8	1	120	36	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	8	1	121	37	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	0	41	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	1	42	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	2	43	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	3	44	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	4	45	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	5	46	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	6	1	C0638	9000	90	CETIRIZINE HCL 10MG TAB	EMPTY LANE	C0638-90	10135076290
1	A	9	1	7	2	C0638	9000	90	CETIRIZINE HCL 10MG TAB	EMPTY LANE	C0638-90	10135076290
1	A	9	1	8	47	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	9	48	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	10	49	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	11	50	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	12	51	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	13	52	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	14	53	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	15	54	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	16	55	SPARES1                       	100	1	SPARE LANE S1	EMPTY LANE	SPARES1-1	#N/A
1	A	9	1	17	56	SPARES1                       	100	1	SPARE LANE S1	JAM LANE	SPARES1-1	#N/A
1	A	9	1	18	1	R0312	1800	18	RIZATRIPTAN 10MG DISINTEGRATE TAB (MAX18DOSE/MO	NO ERROR	R0312-18	51407068018
1	A	9	1	19	1	F0129	100	1	FLUTICASONE PROP 50MCG 120D NASAL INHL	NO ERROR	F0129-1	60429019515
1	A	9	1	20	2	F0129	100	1	FLUTICASONE PROP 50MCG 120D NASAL INHL	NO ERROR	F0129-1	60429019515
1	A	9	1	21	3	F0129	100	1	FLUTICASONE PROP 50MCG 120D NASAL INHL	NO ERROR	F0129-1	60429019515
1	A	9	1	22	4	F0129	100	1	FLUTICASONE PROP 50MCG 120D NASAL INHL	NO ERROR	F0129-1	60429019515
1	A	9	1	23	5	F0129	100	1	FLUTICASONE PROP 50MCG 120D NASAL INHL	NO ERROR	F0129-1	60429019515
